DE;CODDIST;DISTR;CATEG;TIPOESC;CODESCMEC;NOMESC;;ENDESC;NUMESC;COMPLEND;BAIESC;CODCEP;COMPCEP;CEP;CAIXAPOSTA;CEPPOSTAL;DDD;FONE1;FONE1;FONE2;FONE2;FAX;EMAIL;FAX;email;SETOR
NORTE 1;42;JARAGUA;1;08;35901684;EDUARDO GOMES BRIGADEIRO COHAB;Eduardo Gomes Brigadeiro Cohab;R JOAO AMADO COUTINHO;1010;;CONJUNTO RESIDENCIAL ELISIO TEIXEIRA LEITE;02815;000;02815-000;;;011;39712787;+55 11 3971-2787;;;39713943;E901884A@EDUCACAO.SP.GOV.BR;+55 11 3971-3943;e901884a@educacao.sp.gov.br;09
NORTE 1;42;JARAGUA;1;08;35926103;PARQUE NACOES UNIDAS II;Parque Nacoes Unidas Ii;EST DAS TAIPAS;1370;;JARAGUA;02991;000;02991-000;;;011;39419458;+55 11 3941-9458;39471000;+55 11 3947-1000;;E926103A@EDUCACAO.SP.GOV.BR;;e926103a@educacao.sp.gov.br;05
NORTE 1;42;JARAGUA;1;10;35559210;DJEKUPE AMBA ARANDY;Djekupe Amba Arandy;EST TURISTICA DO JARAGUA;3710;;VILA JARAGUA;05161;000;05161-000;;;011;39035924;+55 11 3903-5924;;;;E559210A@EDUCACAO.SP.GOV.BR;;e559210a@educacao.sp.gov.br;02
NORTE 1;63;PIRITUBA;1;08;35000197;AGENOR COUTO DE MAGALHAES DOUTOR;Agenor Couto De Magalhaes Doutor;AV GUILHERME MANKEL;99;;VILA CLARICE;05176;000;05176-000;;;011;39041956;+55 11 3904-1956;39013235;+55 11 3901-3235;;E000197A@EDUCACAO.SP.GOV.BR;;e000197a@educacao.sp.gov.br;01
NORTE 1;63;PIRITUBA;1;08;35046267;JOAO NOGUEIRA LOTUFO PROFESSOR;Joao Nogueira Lotufo Professor;R JOSE MARCOS DE ALBUQUERQUE;18;;JARDIM SANTA MONICA;05171;400;05171-400;;;011;39040403;+55 11 3904-0403;39014814;+55 11 3901-4814;;E046267A@EDUCACAO.SP.GOV.BR;;e046267a@educacao.sp.gov.br;01
NORTE 1;95;SAO DOMINGOS;1;08;35041683;OTTO DE BARROS VIDAL PROFESSOR;Otto De Barros Vidal Professor;R JOAQUIM JOSE DE LIMA;13;;JARDIM NARDINI;05160;120;05160-120;;;011;39040072;+55 11 3904-0072;39015288;+55 11 3901-5288;;E041683A@EDUCACAO.SP.GOV.BR;;e041683a@educacao.sp.gov.br;01
NORTE 1;95;SAO DOMINGOS;1;08;35904259;MARILENA PIUMBATO CHAPARRO PROFESSORA;Marilena Piumbato Chaparro Professora;R BOAVENTURA PEREIRA;235;;PARQUE ANHANGUERA (SAO DOMINGOS);05158;240;05158-240;;;011;39044417;+55 11 3904-4417;39048218;+55 11 3904-8218;;E904259A@EDUCACAO.SP.GOV.BR;;e904259a@educacao.sp.gov.br;01
CENTRO;10;BRAS;2;34;35559374;CENTRO DE ATEND SOCIOEDC AO ADOLESCENTE RIO TAMISA UI 36;Centro De Atend Socioedc Ao Adolescente Rio Tamisa Ui 36;RUA CORONEL MURSA;270;;BRAS;03043;050;03043-050;;;011;32715319;+55 11 3271-5319;;;;;;;02
CENTRO;21;CASA VERDE;1;08;35000334;MANUEL DA NOBREGA PADRE;Manuel Da Nobrega Padre;RUA SANTA PRISCA;122;;JARDIM LARANJEIRAS;02518;010;02518-010;;;011;39666330;+55 11 3966-6330;39653760;+55 11 3965-3760;39666330;E000334A@EDUCACAO.SP.GOV.BR;+55 11 3966-6330;e000334a@educacao.sp.gov.br;04
CENTRO;50;LIMAO;1;08;35000536;TARCISIO ALVARES LOBO;Tarcisio Alvares Lobo;RUA ESTELA BORGES MORATO;500;;VILA SIQUEIRA;02722;000;02722-000;;;011;39311908;+55 11 3931-1908;;;39312932;E000536A@EDUCACAO.SP.GOV.BR;+55 11 3931-2932;e000536a@educacao.sp.gov.br;03
